,EDVL,ESVL,PmaxL,LVEF,SVL,dvdt_ejection,dvdt_filling,dpdt_max,EDVR,ESVR,PmaxR,SVR
pericardial_stiffness,0.0009324151336111149,0.00012896055288325796,0.0007818655207369449,0.000326403692282614,0.0004897886560996868,0.0005476505416758327,0.0002914674240703363,0.021332679461525905,0.0010975135165074118,0.0007719389624818241,0.0009836576122880542,0.0008886374954582755
Kct_myocardium,4.123950086961087e-05,0.07774758090452953,0.13237064854522604,0.017369749636389285,0.014934398008538416,0.0031115248586788833,0.5083121898576277,6.143144597497443e-05,0.0009092926623837892,0.05755860791353551,0.019025846372453414,0.030972141298451092
a_myocardium,4.356077484750182e-07,1.5782517408837354e-07,1.6633047159462572e-06,1.806458054968508e-07,4.769173753062705e-07,3.135612071631531e-07,3.676392232194726e-10,6.400266106270582e-08,0.015975598319196725,2.0241783096251014e-07,0.46695779912974333,0.09200607192775158
af_myocardium,1.5064899578140513e-05,3.686674604102232e-05,1.613431816090415e-05,8.96110807312237e-06,1.3458436471797084e-05,2.518759406063448e-05,1.9570759954983177e-05,2.2544503427814188e-08,9.729606324949487e-05,9.24400029565966e-05,0.00013367440650433382,9.789673615208539e-05
as_myocardium,5.475281301788781e-06,0.9196078402356833,8.936176809499509e-09,0.4884763990865084,0.33072432717397476,5.530240138590506e-06,0.955884294217605,8.819956018131797e-09,0.00015763100351438898,0.8671576891095593,0.5899652588768639,0.5240817869640321
afs_myocardium,2.125190030032112e-13,0.29757612752116547,6.37358166576847e-13,0.42075952118380533,0.49748319243059613,1.982528306043233e-05,0.31052120117525933,5.549205094977592e-13,1.0174211098881666e-09,0.31609549138852855,2.40997187670671e-10,0.19727666339211972
tref_scaling_myocardium,1.3212168611716262e-12,0.0019928887857321134,0.10663938224591628,0.0030611327947905843,0.0034506091271079477,0.0007786815608782317,0.14309790723221646,1.0383138024704323e-10,0.05480614032824279,1.4325427603845167e-06,0.0012215621402513336,2.6253865358241638e-06
cal50_myocardium,0.020032903292102156,0.00014646656303748753,0.062381507401358234,0.9989474417136811,0.37235892888031724,0.15446553586926282,0.6732903439500437,0.11234819422805194,0.104446282828788,7.028089294906327e-06,0.5195076341674449,0.7371147597815287
sfkws_myocardium,0.11007146530834436,0.0005931363078140674,0.02249029317213846,0.0139349113503105,0.014656995728458359,0.18248008561100124,0.0009648339169442007,0.10745738060360015,0.1614626153202481,0.00023694962759634384,8.544722614172579e-06,0.009131425241367331
sf_gnal,0.0004925261041099317,0.03495487764285914,7.302777429946824e-05,0.038883753328817244,0.04129995122065315,0.00021254622160089422,0.19835741415459834,0.0006023736172822123,0.00036434271572204893,0.0056720955632878515,2.4463416635429196e-05,0.006416772696992216
sf_gkr,0.3194860701491821,0.016587297485464753,4.125377321321172e-05,0.0111917570404788,0.008786314285878978,3.224822473973591e-05,0.5524929735727386,0.3395983116912587,0.0018557272877960465,0.005330057040467054,0.0012437239301833012,0.005739756013741078
sf_gnak,0.0014766848633077777,2.1276566686476923e-05,6.273907186861021e-07,1.3122414542850942e-05,1.0087995564838898e-05,0.00021254622160089422,6.10809665535364e-05,0.0015204438988898831,1.1524835361628785e-05,6.731394986433581e-06,1.8888560295962954e-06,6.532005794952574e-06
sf_gcal,0.2048970716917442,0.0005270829989125725,0.11774622766968416,0.004768860786476112,0.05563091341682486,0.02066696240709087,0.7719425704686391,3.746906488096734e-06,0.040755429585767104,0.0003281264426957575,0.09211189656897946,0.000305049077970305
sf_jup,5.67050166334959e-05,0.09265968234031273,0.31738179204471245,0.03954648288270538,0.028797123898067822,0.1631145996114844,0.028554295219597695,0.34798747731606927,0.03287021725457489,0.26806925682056276,0.05159431210144658,0.0961166923903827
arterial_resistance_lv,1.0,0.025287055919521448,0.0003439155347274131,0.025287055919521396,0.025287055919521396,0.035783520928195346,0.23890332067097772,1.0,1.0,0.02354537982853959,0.03291428404118031,0.023545379828539433
arterial_compliance_lv,1.0,5.386937253046261e-05,0.0001856167120808681,5.386937253046521e-05,5.386937253046261e-05,0.0022725670757493635,0.05380883482186031,1.0,1.0,0.00016742398707343936,7.09804894691042e-06,0.0001674239870734162
gain_error_relaxation_lv,1.0,1.0,1.0,1.0,1.0,1.0,0.0034827881159574326,1.0,1.0,1.0,1.0,1.0
gain_derror_relaxation_lv,1.0,0.13397459621556113,1.0,0.13397459621556146,0.13397459621556113,1.0,0.11753155912216287,1.0,1.0,1.0,1.0,1.0
ejection_pressure_threshold_lv,1.0,0.025227475276337473,1.2325272816373458e-07,0.025227475276337435,0.02522747527633734,0.25926799034659714,0.8054116106254158,1.0,0.13397459621556138,0.013127455085025316,7.865975566050943e-05,0.013322525976918192
