,qrs_dur_mean,t_dur_mean,qt_dur_mean,t_pe_mean,jt_dur_mean,EDVL,ESVL,PmaxL,LVEF,SVL,dvdt_ejection,dvdt_filling,dpdt_max,EDVR,ESVR,PmaxR,SVR
sf_gnal,-131.57894736842232,22320.90643274854,177002.92397660817,94480.99415204677,177134.5029239766,-0.20916008771929515,-3.7359804385964934,210.22675438596417,3.2697289648096715,3.5268203508771974,3.6842105266293483,-49.201754386614304,-3.44298245597846,-0.07003776315789989,-1.5385322807017519,133.01320175438408,1.468494517543852
sf_gkr,-98.68421052631962,-14239.766081871348,-174455.40935672514,-10709.064327485376,-174356.72514619885,0.07762236842105204,1.2034054824561362,-289.3096491228068,-1.0469966301431644,-1.1257831140350854,-5.438596491483213,-10.392543859611417,1.2587719297940874,0.05870175438596523,0.8403747807017531,-122.42565789473686,-0.7816730263157888
sf_gnak,899.122807017542,13556.286549707598,-55793.128654970766,-4290.935672514621,-56692.251461988315,0.15483333333333119,1.4641728508771878,-212.52675438596688,-1.23895329536802,-1.3093395175438545,-3.6842105266293483,-10.17982456136713,2.5372807017344545,0.06614850877193022,0.9304178070175421,-113.71535087719437,-0.8642692982456109
sf_gcal,-1611.842105263158,15749.269005847957,-2386.695906432747,-26853.0701754386,-774.8538011695803,-4.62277894736842,-10.77870280701754,34932.41451754385,6.9497102266731705,6.155923859649121,246.11842105344348,6.59429824525069,-15.013157894817214,-1.3826074561403532,-5.881654736842107,4444.810833333334,4.4990472807017525
sf_jup,105.9941520467826,2934.9415204678394,1948.0994152046808,7660.818713450291,1842.1052631578843,-1.650336842105263,2.8867521052631586,630.5004385964926,-3.69100647105714,-4.537088947368423,30.350877192781816,-24.97149122731688,16.962719300110955,-0.3461419298245647,0.9593208333333318,251.1539035087718,-1.3054627631578954
tref_scaling_myocardium,-20.46783625730977,1836.9883040935674,5228.435672514617,3120.6140350877176,5248.9035087719285,-0.07775394736842088,-0.754509688596491,2094.905127192982,0.631556932399069,0.67675574122807,24.092105263154966,5.7594298245183495,-1.5035087719173157,-0.013626517543859233,-0.4411854429824559,137.43997807017544,0.42755892543859664
cal50_myocardium,-13.621009044344463,-29121.717336820322,-120913.69728669507,-81004.14078674947,-120900.07627765067,13.483056064073224,9.645785714285713,2071.449820202689,0.003684519013226236,3.837270349787511,-1206.4727034981213,-15.57698594268275,-3236.5233736520086,4.008243543641711,4.657194998365476,379.4561948349144,-0.6489514547237654
sfkws_myocardium,47.514619883042634,1911.5497076023253,-339.91228070175436,-533.6257309941565,-387.4269005848022,6.31244530701754,-8.564761447368424,17820.138684210528,13.205274919552952,14.877206754385961,-1232.1271929817983,43.13815789506521,-3490.6162280690405,2.359575526315789,-4.5493360964912295,2721.8020175438596,6.908911622807019
pericardial_stiffness,-2.1198830409356383e-05,0.0012404970760233906,-3.5087719298248674e-05,-8.918128654970717e-05,-1.3888888888889228e-05,-3.8582219298245663e-07,2.239515263157896e-07,-0.0003980474561403518,-4.2415666607857976e-07,-6.097737192982462e-07,-7.754385965040443e-06,-8.118421052674531e-07,-2.8162280701500144e-06,-5.170061315789473e-07,7.564867894736845e-07,-0.0004348798157894737,-1.2734929210526317e-06
Kct_myocardium,-9.722222222222268e-06,0.0005321637426900583,0.0008874999999999999,0.0007093567251461988,0.0008972222222222219,-7.048636842105272e-08,8.300317719298239e-08,-1.122135964912285e-05,-1.3054774432648454e-07,-1.5348954561403512e-07,-2.5929824561624388e-06,2.3298245613343093e-07,-9.832894736855082e-07,-1.58954561403508e-08,4.3625978947368436e-08,-1.3098801754385939e-05,-5.9521435087719245e-08
a_myocardium,0.0017975266033929984,0.004194228741251061,0.0,-0.0005991755344646464,-0.0017975266033908007,-0.0005539725337935001,-4.943102530917464e-05,-0.24971282714984222,-0.0002905992335238284,-0.0005045415084843252,-0.00511935576654006,0.0001308599366657454,-0.004936727063572585,-2.6739969801553726e-05,-1.148932988208249e-05,0.0021273799252228163,-1.5250639919470979e-05
af_myocardium,0.003982980956665426,-2.282718553147211e-19,0.0,-0.003514394961763792,-0.003982980956666203,-0.00012150137764282494,-1.254395524066566e-05,-0.051692701304543606,-6.105043070847151e-05,-0.0001089574224021593,-0.0009671614934770336,3.83771929695669e-05,-0.0006280926675619452,-3.510000843454813e-05,-3.7703413180388613e-06,-0.007541416441745343,-3.1329667116509215e-05
